Version,Model,Features,MAE,RMSE,WAPE
V5,Linear Regression,39,929.7767018489016,1328.3960003448342,8.311961453181766
V4,Linear Regression,35,1004.586364475365,1436.4554361552568,8.980740344758843
V3,Linear Regression,23,2632.54554070127,3724.975960197992,23.534271201399175
V2,XGBoost,18,2732.7430552386336,5611.070808028507,24.430010874035677
V2,LightGBM,18,2795.0258007834427,5610.176930428408,24.986802390899168
V2,Linear Regression,18,2936.515281716401,4255.728312981224,26.251681484133933
V3,LightGBM,23,2973.7873963837383,5838.256757178524,26.584884477688643
V1,Linear Regression,12,2992.669235975667,4327.481001320457,26.75368320381415
V3,XGBoost,23,3063.5038958289083,6534.972607397292,27.38692660631991
V5,XGBoost,39,3089.5591311299895,6380.041752562781,27.619853620995055
V4,XGBoost,35,3099.0243305990866,6450.1811446756565,27.704470038009337
V4,LightGBM,35,3197.412868432395,6300.430067002295,28.584037930256095
V5,LightGBM,39,3236.323124444754,6342.171238188925,28.931885480603427
V1,XGBoost,12,4060.6015089960415,7801.2109522332385,36.300719465641976
V1,LightGBM,12,4089.299304785987,7564.110796630714,36.55727028254561
V0,LightGBM,3,4946.384718377927,8948.42722611341,44.21939055905292
V0,XGBoost,3,5082.330503444628,9488.998414893516,45.43471045570117
V0,Linear Regression,3,5287.739176631023,8385.321259586215,47.27101047298422
